date,game_code,game_time,game_status,lineup_status,team,team_code,player_type,player_id,name,batting_order,position,batting_hand,throwing_hand,role
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,79215,박건우,5,우익수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,63963,권희동,6,좌익수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,62244,박세혁,7,포수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,51344,김휘집,8,3루수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,NC,NC,batter,62934,김성욱,9,중견수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,pitcher,65320,최원태,0,투수,,우투,선발투수
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,50458,김지찬,1,중견수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,52415,이재현,2,유격수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,62404,구자욱,3,좌익수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,74540,강민호,4,포수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,54400,디아즈,5,1루수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,75125,박병호,6,지명타자,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,52430,김영웅,7,3루수,좌타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,61404,김헌곤,8,우익수,우타,,선발타자
2025-03-25,20250325NCSS02025,"경기 시간
18:30",종료,confirmed,삼성,SS,batter,62234,류지혁,9,2루수,좌타,,선발타자
